auteur,Date,Titre,Source,Etiquettes ,Décennie,"Notoriété sur Fabula : ""Prénom+nom"" ",Notoriété sur Fabula : nom,Commentaires ,Documents BNF ,Nom du relecteur ,Remarques,Problèmes,
"Ernaux, Annie",1997-02-10T00:00:00+01:00,La honte,,canonique,1990-2000,500,543,,4,,,,
"Germain, Sylvie",1998-03-03T00:00:00+01:00,Tobie des marais,Gallimard,canonique,1990-2000,660,non pertinent,,2,,,,
"Houellebecq, Michel",1998-01-01T00:00:00+01:00,Les particules élémentaires,,canonique,1990-2000,385,609,,5,,,,
"Houellebecq, Michel",1994-10-15T00:00:00+01:00,Extension du domaine de la lutte,,canonique,1990-2000,385,609,,3,,,,
"Kundera, Milan",1998-01-01T00:00:00+01:00,L'Identité,Gallimard,canonique,1990-2000,215,339,,3,,,,
"Laurens, Camille",1995-02-02T00:00:00+01:00,Philippe,Stock,"canonique, mémoire et autobiographie",1990-2000,130,non pertinent,,3,,,,
"Michon, Pierre",1996-08-14T00:00:00+02:00,La Grande Beune,Verdier,canonique,1990-2000,470,725,,2,,,,
"Michon, Pierre",1991-08-01T00:00:00+02:00,Rimbaud le fils,,canonique,1990-2000,470,725,,2,,,,
"Modiano, Patrick",1997-02-06T00:00:00+01:00,Dora Bruder,,canonique,1990-2000,249,532,,6,,,,
"Nothomb, Amélie",1999-01-01T00:00:00+01:00,Stupeur et tremblements,,canonique,1990-2000,117,132,,10,,,,
"Rolin, Olivier",1993-12-25T00:00:00+01:00,L'Invention du monde,Seuil,canonique,1990-2000,198,non pertinent,,2,,,,
"Rolin, Olivier",1994-11-14T00:00:00+01:00,Port-Soudan,,canonique,1990-2000,198,non pertinent,,3,,,,
"Rouaud, Jean",1998-02-26T00:00:00+01:00,Pour vos cadeaux,,canonique,1990-2000,182,212,,5,,,,
"Sarraute, Nathalie",1997-11-18T00:00:00+01:00,Ouvrez,Editions Gallimard - Folio,canonique,1990-2000,339,503,,3,,,,
"Volodine, Antoine",1999-07-25T00:00:00+02:00,Des anges mineurs,Seuil,canonique,1990-2000,224,304,,1,,,,
"Volodine, Antoine",1994-06-15T00:00:00+02:00,Le nom des singes,Editions de Minuit,canonique,1990-2000,224,304,,1,,,,
"Adam, Olivier",1999-01-01T00:00:00+01:00,"Je vais bien, ne t'en fais pas",,non-canonique,1990-2000,6,non pertinent,,4,,,,
"Beigbeder, Frédéric",1990-05-20T00:00:00+02:00,Marc Marronnier - Tome 1 - Mémoires d'un jeune homme dérangé,1990,non-canonique,1990-2000,48,66,,4,,,,
"Beigbeder, Frédéric",1997-05-20T00:00:00+02:00,L'Amour Dure Trois Ans,1997,non-canonique,1990-2000,48,66,,5,,,,
"Bouraoui, Nina",1996-03-13T00:00:00+01:00,Le Bal des murènes,Fayard,non-canonique,1990-2000,54,non pertinent,,3,,,,
Claro,1996-05-01T00:00:00+02:00,Éloge de la vache folle,Fleuve Noir,non-canonique,1990-2000,non pertinent,61,,2,,,,
"Daeninckx, Didier",1996-07-02T00:00:00+02:00,Nazis dans le métro,Hérétiques,non-canonique,1990-2000,79,66,,3,,,,
"Daeninckx, Didier",1998-04-05T00:00:00+02:00,Cannibale,Gallimard,non-canonique,1990-2000,79,66,,5,,,,
"Despentes, Virginie",1996-01-03T00:00:00+01:00,Les Chiennes savantes,Grasset,non-canonique,1990-2000,60,79,,4,,,,
"Djian, Philippe",1991-09-04T00:00:00+02:00,Lent Dehors,,non-canonique,1990-2000,5,non pertinent,,4,,,,
"Ferney, Alice",1995-06-04T00:00:00+02:00,L'élégance des veuves,Actes Sud,non-canonique,1990-2000,7,non pertinent,,7,,,,
"Forest, Philippe",1997-05-02T00:00:00+02:00,L'Enfant éternel,Editions Gallimard,non-canonique,1990-2000,278,474 (pertinent?),,2,,,,
"Gailly, Christian",1996-01-15T05:00:00+01:00,L'Incident,Minuit,non-canonique,1990-2000,47,71,,2,,,,
"Gailly, Christian",1997-01-15T05:00:00+01:00,Les Évadés,Minuit,non-canonique,1990-2000,47,71,,2,,,,
"Grangé, Jean-Christophe",1998-01-29T22:00:00+01:00,Les rivières pourpres,,non-canonique,1990-2000,3,42,,6,,,,
"Grangé, Jean-Christophe",1994-01-01T00:00:00+01:00,Le vol des cigognes,,non-canonique,1990-2000,3,42,,7,,,,
"Jonquet, Thierry",1998-09-18T00:00:00+02:00,Moloch,,non-canonique,1990-2000,16,27,,3,,,,
"Kristof, Agota",1995-04-17T00:00:00+02:00,Hier,Seuil,non-canonique,1990-2000,47,74,,3,,,,
"Laurent, Jacques",1994-01-01T00:00:00+01:00,L'inconnu du temps qui passe,Grasset,non-canonique,1990-2000,55,non pertinent,,4,,,,
"Lê, Linda",1992-01-01T00:00:00+01:00,Les Evangiles du crime,Christian Bourgois,non-canonique,1990-2000,74,90,,2,,,,
"Rolin, Jean",1996-12-01T16:03:46+01:00,L'Organisation,Gallimard (Editions),non-canonique,1990-2000,94,,,3,,,,
"Vargas, Fred",1991-01-05T00:00:00+01:00,L'homme aux cercles bleus,AlexandriZ,non-canonique,1990-2000,29,non pertinent,,7,,,,
"Vargas, Fred",1997-05-25T00:00:00+02:00,Sans feu ni lieu,,non-canonique,1990-2000,29,non pertinent,,6,,,,
"Vargas, Fred",1994-01-02T00:00:00+01:00,Ceux qui vont mourir te saluent,,non-canonique,1990-2000,29,non pertinent,,3,,,,
"Villard, Marc",1993-01-24T00:00:00+01:00,La porte de derrière,Gallimard/Série Noire,non-canonique,1990-2000,1,non pertinent,,2,,,,
"Bauchau, Henry",2008-02-28T00:00:00+01:00,Le Boulevard périphérique,Éditions Actes Sud,canonique,2000-2010,532,569,,,,,,
"Carrère, Emmanuel",2000-06-27T00:00:00+02:00,L'adversaire,,canonique,2000-2010,143,195,,,,,,
"Carrère, Emmanuel",2009-05-22T00:00:00+02:00,D'autres vies que la mienne,,canonique,2000-2010,143,195,,,,,,
"Darrieussecq, Marie",2003-06-11T00:00:00+02:00,White,,canonique,2000-2010,171,195,,,,,,
"Échenoz, Jean",2008-10-09T00:00:00+02:00,Courir,,canonique,2000-2010,22,339,,,,,,
"Échenoz, Jean",2006-01-03T00:00:00+01:00,Ravel,,"biographie, canonique",2000-2010,22,339,,,,,,
"Ernaux, Annie",2002-07-17T00:00:00+02:00,L'Occupation,Gallimard,canonique,2000-2010,500,543,,,,,,
"Ernaux, Annie",2008-10-04T00:00:00+02:00,Les années,,canonique,2000-2010,500,543,,,,,,
"Houellebecq, Michel",2005-01-01T00:00:00+01:00,La possibilité d'une île,,canonique,2000-2010,385,609,,,,,,
"Michon, Pierre",2009-07-08T00:00:00+02:00,Les Onze,,canonique,2000-2010,470,725,,,,,,
"Modiano, Patrick",2001-10-11T00:00:00+02:00,La Petite Bijou,,canonique,2000-2010,249,532,,,,,,
"Modiano, Patrick",2007-03-25T00:00:00+01:00,Dans le café de la jeunesse perdue,,canonique,2000-2010,249,532,,,,,,
"N'Diaye, Marie",2009-04-28T00:00:00+02:00,Trois femmes puissantes,Editions Gallimard,canonique,2000-2010,175,non pertinent,,,,,,
"Nothomb, Amélie",2001-05-05T00:00:00+02:00,Cosmetique de l'ennemi,Librairie générale française,canonique,2000-2010,117,132,,,,,,
"Quignard, Pascal",2000-02-02T00:00:00+01:00,Terrasse à Rome,Gallimard,canonique,2000-2010,619,667,,,,,,
"Quignard, Pascal",2006-01-29T00:00:00+01:00,Villa Amalia,Gallimard,canonique,2000-2010,619,667,,,,,,
"Quignard, Pascal",2008-01-06T00:00:00+01:00,Boutès,,canonique,2000-2010,619,667,,,,,,
"Quignard, Pascal",2009-01-19T00:00:00+01:00,La barque silencieuse,,canonique,2000-2010,619,667,,,,,,
"Robbe-Grillet, Alain",2001-01-01T00:00:00+01:00,La reprise,,canonique,2000-2010,229,566,,,,,,
"Rolin, Olivier",2002-05-19T00:00:00+02:00,Tigre en papier,,canonique,2000-2010,198,non pertinent,,,,,,
"Rouaud, Jean",2001-01-02T00:00:00+01:00,La désincarnation,,canonique,2000-2010,182,212,,,,,,
"Simon, Claude",2001-01-02T00:00:00+01:00,Le tramway,Minuit,canonique,2000-2010,1600,non pertinent,,,,,,
"Toussaint, Jean-Philippe",2009-02-21T00:00:00+01:00,La Vérité sur Marie,,canonique,2000-2010,193,non pertinent,,,,,,
"Volodine, Antoine",2002-07-25T00:00:00+02:00,Dondog,Seuil,canonique,2000-2010,224,304,,,,,,
"Volodine, Antoine",2006-01-01T00:00:00+01:00,Nos animaux préférés,Seuil,canonique,2000-2010,224,304,,,,,,
"Adam, Olivier",2005-01-02T00:00:00+01:00,Falaises,,non-canonique,2000-2010,6,non pertinent,,,,,,
"Angot, Christine",2004-11-10T00:00:00+01:00,Une partie du cœur,Stock,non-canonique,2000-2010,85,130,,,,,,
"Beigbeder, Frédéric",2009-01-01T00:00:00+01:00,Un roman français,Grasset,non-canonique,2000-2010,48,66,,,,,,
"Bouraoui, Nina",2004-03-17T00:00:00+01:00,Poupée Bella,Hachette France,non-canonique,2000-2010,54,non pertinent,,,,,,
"Chandernagor, Françoise",2002-10-02T00:00:00+02:00,La Chambre,Gallimard,non-canonique,2000-2010,10,25,,,,,,
"Claudel, Philippe",2000-10-11T00:00:00+02:00,J'abandonne,Stock,non-canonique,2000-2010,48,non pertinent,,,,,,
"Cusset, Catherine",2008-12-25T00:00:00+01:00,Un brillant avenir,Editions Gallimard,non-canonique,2000-2010,non pertinent,non pertinent,,,,,,
"Énard, Mathias",2008-11-04T00:00:00+01:00,Zone,Actes Sud,non-canonique,2000-2010,16,46,,,,,,
"Foenkinos, David",2004-01-01T00:00:00+01:00,Le potentiel érotique de ma femme,,non-canonique,2000-2010,5,6,,,,,,
"Gailly, Christian",2000-01-15T06:00:00+01:00,Nuage rouge,Minuit,non-canonique,2000-2010,47,71,,,,,,
"Gaudé, Laurent",2002-01-01T00:00:00+01:00,La Mort du roi Tsongor,Actes Sud,non-canonique,2000-2010,23,31,,,,,,
"Gavalda, Anna",2007-01-02T00:00:00+01:00,"Ensemble, c'est tout",,non-canonique,2000-2010,5,10,,,,,,
"Grimbert, Philippe",2004-06-27T00:00:00+02:00,Un secret,LE LIVRE DE POCHE,non-canonique,2000-2010,11,24,,,,,,
"Jouet, Jacques",2007-06-15T00:00:00+02:00,Une mauvaise maire,P.O.L,non-canonique,2000-2010,76,non pertinent,,,,,,
"Jourde, Pierre",2006-01-01T00:00:00+01:00,L'Heure et l'ombre,L'Esprit des péninsules,non-canonique,2000-2010,153,,,,,,,
"Millet, Catherine",2001-12-28T00:00:00+01:00,La Vie Sexuelle De Catherine M.,,non-canonique,2000-2010,50,,,,,,,
"Oster, Christian",2002-10-15T00:00:00+02:00,Dans le train,de Minuit,non-canonique,2000-2010,53,non pertinent,,,,,,
"Kerangal, Maylis de",2008-02-11T00:00:00+01:00,Corniche Kennedy,Gallimard,non-canonique,2000-2010,68,92,,,,,,
"Musso, Guillaume",2001-10-22T00:00:00+02:00,Skidamarink,Anne Carrière,non-canonique,2000-2010,3,non pertinent,,,,,,
"Musso, Guillaume",2009-07-25T00:00:00+02:00,Que serais-je sans toi,,non-canonique,2000-2010,3,non pertinent,,,,,,
"Riboulet, Mathieu",2008-01-14T18:00:00+01:00,L'Amant Des Morts,Verdier,non-canonique,2000-2010,17,22,,,,,,
"Rufin, Jean-Christophe",2001-05-25T00:00:00+02:00,Rouge Brésil,Gallimard,non-canonique,2000-2010,18,24,,,,,,
"Vargas, Fred",2006-01-05T00:00:00+01:00,Dans les bois éternels,AlexandriZ,non-canonique,2000-2010,29,non pertinent ,,,,,,
"Viel,Tanguy",2009-01-02T00:00:00+01:00,Paris-Brest,de Minuit,non-canonique,2000-2010,87,non pertinent ,,,,,,
"de Vigan, Delphine",2005-01-05T00:00:00+01:00,Les jolis garçons,JC Lattès,non-canonique,2000-2010,6,6,,,,,,
"Bauchau, Henry",2010-12-21T00:00:00+01:00,Déluge,Actes Sud,canonique,2010-2017,532,569,,,,,,
"Bauchau, Henry",2011-12-21T00:00:00+01:00,L'Enfant rieur,Éditions Actes Sud,canonique,2010-2017,532,569,,,,,,
"Carrère, Emmanuel",2014-08-28T00:00:00+02:00,Le Royaume,POL Editeur,canonique,2010-2017,143,195,,,,,,
"Darrieussecq, Marie",2013-08-22T00:00:00+02:00,Il faut beaucoup aimer les hommes,POL Editeur,canonique,2010-2017,171,195,,,,,,
"Darrieussecq, Marie",2011-10-03T06:00:00+02:00,Clèves,POL Editeur,canonique,2010-2017,171,195,,,,,,
"Échenoz, Jean",2012-10-04T00:00:00+02:00,14,,canonique,2010-2017,22,339,,,,,,
"Échenoz, Jean",2014-04-13T00:00:00+02:00,Caprice de la reine,de Minuit,"nouvelles, canonique",2010-2017,22,339,,,,,,
"Ernaux, Annie",2014-03-29T21:00:00+01:00,Regarde les lumières mon amour,Raconter la Vie,canonique,2010-2017,500,543,,,,,,
"Germain, Sylvie",2015-12-30T00:00:00+01:00,À la table des hommes,Albin Michel,canonique,2010-2017,660,non pertinent,,,,,,
"Houellebecq, Michel",2010-01-01T00:00:00+01:00,La Carte et le territoire,,canonique,2010-2017,385,609,,,,,,
"Houellebecq, Michel",2013-05-18T00:00:00+02:00,Configuration du dernier rivage,,canonique,2010-2017,385,609,,,,,,
"Laurens, Camille",2016-01-05T00:00:00+01:00,Celle que vous croyez,Gallimard,canonique,2010-2017,130,non pertinent,,,,,,
"Modiano, Patrick",2014-10-02T00:00:00+02:00,Pour que tu ne te perdes pas dans le quartier,,canonique,2010-2017,249,532,,,,,,
"Modiano, Patrick",2012-07-19T00:00:00+02:00,L'herbe des nuits,,canonique,2010-2017,249,532,,,,,,
"Millet, Richard",2011-12-29T14:25:17+01:00,La Fiancée libanaise,,canonique,2010-2017,143,non pertinent,,,,,,
"Millet, Richard",2010-01-30T00:00:00+01:00,Tarnac,Gallimard,canonique,2010-2017,143,non pertinent,,,,,,
"Nothomb, Amélie",2012-08-26T00:00:00+02:00,Barbe bleue,AlexandriZ,canonique,2010-2017,117,132,,,,,,
"Quignard, Pascal",2011-09-16T12:30:26+02:00,Les solidarités mystérieuses,Gallimard,canonique,2010-2017,619,667,,,,,,
"Quignard, Pascal",2012-04-03T00:00:00+02:00,Les désarçonnés,Talenvin - Gigatribe (Antonin - TAZ),canonique,2010-2017,619,667,,,,,,
"Rolin, Olivier",2014-12-02T00:00:00+01:00,Le Météorologue,Seuil,canonique,2010-2017,198,non pertinent ,,,,,,
"Rouaud, Jean",2014-01-03T00:00:00+01:00,Un peu la guerre,Grasset,canonique,2010-2017,229,354,,,,,,
"Sollers, Philippe",2011-01-19T00:00:00+01:00,Trésor d'amour,,canonique,2010-2017,229,354,,,,,,
"Toussaint, Jean-Philippe",2013-09-05T00:00:00+02:00,Nue,,canonique,2010-2017,193,non pertinent,,,,,,
"Volodine, Antoine",2014-08-21T00:00:00+02:00,Terminus radieux,,canonique,2010-2017,224,304,,,,,,
"Volodine, Andoine (pseudonyme : Lutz Bassmann)",2010-10-14T00:00:00+02:00,Les aigles puent,Prospéro's books,canonique,2010-2017,224,304,,,,,,
"Abécassis, Eliette",2013-05-22T00:00:00+02:00,Le palimpseste d'Archimède,Albin Michel,non-canonique,2010-2017,3,non pertinent,,,,,,
"Bégaudeau, François",2015-01-01T00:00:00+01:00,La politesse,Gallimard,non-canonique,2010-2017,39,45,,,,,,
"Beigbeder, Frédéric",2011-05-20T08:58:21+02:00,99 Francs,,non-canonique,2010-2017,48,66,,,,,,
"Chandernagor, Françoise",2012-08-15T00:00:00+02:00,Les Dames de Rome,Hérétiques,non-canonique,2010-2017,10,25,,,,,,
"Daeninckx, Didier",2013-04-03T00:00:00+02:00,Têtes de maures,Archipel,non-canonique,2010-2017,79,66,,,,,,
"Despentes, Virginie",2010-08-18T00:00:00+02:00,Apocalypse bébé,,non-canonique,2010-2017,60,79,,,,,,
"Despentes, Virginie",2015-01-24T00:00:00+01:00,Vernon Subutex T1,Grasset,non-canonique,2010-2017,60,79,,,,,,
"Énard, Mathias",2010-10-24T00:00:00+02:00,"Parle-leur de batailles, de rois et d'éléphants",,non-canonique,2010-2017,16,46,,,,,,
"Énard, Mathias",2015-06-03T00:00:00+02:00,Boussole,Actes Sud,non-canonique,2010-2017,16,46,,,,,,
"Ferney, Alice",2013-04-24T00:00:00+02:00,Cherchez La Femme,Actes Sud,non-canonique,2010-2017,7,non pertinent,,,,,,
"Foenkinos, David",2014-08-22T00:00:00+02:00,Charlotte,,non-canonique,2010-2017,5,6,,,,,,
"Gavalda, Anna",2013-10-02T00:00:00+02:00,Billie,Le Dilettante,non-canonique,2010-2017,5,10,,,,,,
"Gavalda, Anna",2010-01-01T00:00:00+01:00,Désordre et Sentiments,,non-canonique,2010-2017,5,10,,,,,,
"Jouet, Jacques",2012-01-04T00:00:00+01:00,La seule fois de l'amour,P.O.L,non-canonique,2010-2017,76,non pertinent,,,,,,
"Kerangal, Maylis de",2014-01-02T00:00:00+01:00,Réparer les vivants,,non-canonique,2010-2017,68,92,,,,,,
"Kerangal, Maylis de",2010-07-18T00:00:00+02:00,Naissance d'un pont,,non-canonique,2010-2017,68,92,,,,,,
"Lemaitre, Pierre",2011-01-01T00:00:00+01:00,Alex,Albin Michel,non-canonique,2010-2017,0,non pertinent,,,,,,
"Louis, Édouard",2014-01-02T00:00:00+01:00,En finir avec Eddy Bellegueule,Le Seuil,"non-canonique, mémoire et autobiographie",2010-2017,8,non pertinent,,,,,,
"Musso, Guillaume",2014-05-31T00:00:00+02:00,Central park,Éditions Xo,non-canonique,2010-2017,3,non pertinent,,,,,,
"Oster, Christian",2011-01-21T00:00:00+01:00,Rouler,de l'Olivier,non-canonique,2010-2017,53,non pertinent,,,,,,
"Reinhardt, Eric",2011-09-22T00:00:00+02:00,Le système Victoria,,non-canonique,2010-2017,10,non pertinent,,,,,,
"Rolin, Jean",2013-08-22T00:00:00+02:00,Ormuz,,non-canonique,2010-2017,94,non pertinent,,,,,,
"Schmitt, Eric-Emmanuel",2010-10-13T00:00:00+02:00,Concerto à la mémoire d'un ange,AlexandriZ,non-canonique,2010-2017,25,non pertinent,,,,,,
"Thiéry, Danielle",2013-01-10T00:00:00+01:00,La petite fille de Marie Gare,Versilio,"mémoire et autobiographie, non-canonque",2010-2017,0,non pertinent,,,,,,
"de Vigan, Delphine",2011-08-07T12:08:50+02:00,Rien ne s'oppose à la nuit,,non-canonique,2010-2017,6,6,,,,,,
